거래처,품목,주문횟수,평균주기(일),주기표준편차,평균수량(kg),최근주문일,경과일수,주문규칙성점수,거래유형
주식회사 동원피앤아이,PE28mm 2kgPE28M／M(백)2KG,7,75.0,67.4,571.43,2025-12-17,33,44.3,일회성
경인두채영농조합법인,PP12MPP12M／M10KG(황),3,272.0,132.0,576.67,2025-07-07,196,44.0,휴면
경인산업,PE28mm 2kgPE28M／M(백)2KG,3,34.5,12.5,86.67,2025-03-10,315,43.6,휴면
H.E. BAUMRUCKER COMPANY,PP 12MM 2012M 0.76MM BLACK (16*6)12mm 2012m 0.79mm Black (16*6),3,107.0,35.0,3052.0,2025-02-02,351,43.4,휴면
파워엠팩,PP6MMPP6M／M10KG(백),10,19.7,14.4,600.0,2024-06-27,571,43.3,휴면
주식회사 광림파워팩,PP15MPP15M／M10KG(투명),3,191.0,73.0,200.0,2025-03-11,314,42.7,휴면
우선산업,PP 재생원료적색,4,94.3,71.6,1207.0,2025-12-26,24,42.7,일회성
경인팩,PE28mm 2kgPE28M／M(황)2KG,4,212.0,149.2,125.0,2025-10-28,83,42.3,일회성
신광포장기계,PE28mm 2kgPE28M／M(황)2KG,22,28.3,30.5,175.45,2025-09-01,140,42.3,일회성
합동포장기계,PP8MPP8M／M10KG(백),5,129.2,105.5,456.0,2025-12-01,49,41.5,일회성
주식회사 대한종합포장,스트레치필름(기능성 핸드랩)15*500mm*400m,12,45.6,42.0,19.17,2025-06-02,231,41.3,휴면
(주)진송팩,PP18MPP18M／M10KG(황),4,18.7,13.9,195.0,2025-11-11,69,41.0,일회성
(주)진송팩,운송료,4,18.7,13.9,2.0,2025-11-11,69,41.0,일회성
WESTSIDE PACKAGING SYSTEMS AUSTRALIA,"12 x 3,000M 0.65T12x3,000M0.65T CLEAR",4,139.0,84.9,4218.38,2025-07-01,202,40.4,휴면
대화수지공업(주),PE원료LLDPE 재생투명,4,2.0,1.4,22650.0,2025-09-24,117,40.2,일회성
RLBUTTON,PP19MPP19M／M*0.55T 1000M White,3,251.0,137.0,922.2,2025-06-19,214,40.0,휴면
세움패키지(SEUMPKG),PP5MMx7000Mx0.5T 백색,3,121.0,47.0,20.33,2024-09-23,483,39.6,휴면
(주)아이마켓코리아,PP11MM*13.34KG삼성경량밴드(황색)2300m*두께0.84mm단중5.8g GRS,7,103.5,129.6,1587.46,2025-12-24,26,39.6,일회성
동방포장기자재,PP15MPP15MM*10KG(황색),6,104.6,86.2,65.0,2025-09-03,138,39.2,일회성
신화티에스,PP15MPP15MM*10KG(황색),3,114.5,46.5,500.0,2024-10-07,469,38.7,휴면
신대한판지(주),PP9MMPP9M／M9.5KG(백색),4,39.7,18.6,57.5,2024-06-20,578,38.6,휴면
주식회사 바인텍,PP10MMPP10MM／500M (투명),4,85.0,71.9,450.0,2025-12-19,31,38.0,일회성
신광포장기계,PP18MPP18M／M10KG 회색인쇄밴드,3,36.5,15.5,996.67,2024-10-11,465,37.8,휴면
파코팩(PACO PACK),PE 결속끈PE#50 (백) 5500m 5KG,5,52.5,28.7,860.0,2024-08-01,536,37.7,휴면
신광포장기계,PP12MPP12M／M10KG(B품),7,49.0,32.8,332.54,2024-11-22,423,37.5,휴면
(주)한주,PP18MM*21kg 삼성 recycle2300M두께0.80mm단중8.8g Clear,6,14.2,8.9,9247.0,2024-03-13,677,36.8,휴면
파코팩(PACO PACK),"PE50mm, 5KGPE50M／M(황)5KG",5,39.2,22.6,900.0,2024-09-05,501,36.2,휴면
WESTSIDE PACKAGING SYSTEMS AUSTRALIA,PP19M HD BlackPP19M／M*1000M1.0TBlack,3,154.5,100.5,2562.0,2025-07-01,202,35.4,휴면
우정사업본부,PE28mm 2kg결속기끈1호,3,207.5,110.5,120.0,2025-03-13,312,35.3,휴면
(주)대일상사 (전주),PE28mm 2kgPE28M／M(백)2KG,3,91.5,43.5,80.0,2024-09-20,486,35.2,휴면
합동포장기계,PP5MMx7000Mx0.5T 백색,5,91.2,59.2,34.4,2025-03-04,321,35.0,휴면
금산포장,PP19MPP19M／M*0.55T 1000M Blue,5,127.5,123.9,88.16,2025-12-22,28,34.9,일회성
삼보팩,PP12MPP12M／M10KG(황),3,68.5,33.5,283.33,2024-07-09,559,34.5,휴면
(주)남영판지,PP12MPP12M／M10KG(황),3,68.5,33.5,650.0,2024-07-09,559,34.5,휴면
진송팩,PE28mm 2kgPE28M／M(녹)2KG,3,154.5,97.5,33.33,2025-05-15,249,33.8,휴면
동남물산,PE28mm 2kgPE28M／M(백)2KG,3,134.5,69.5,400.0,2024-12-20,395,33.2,휴면
CYKLOP PACKAGING SYSTEMS PTY LTD.,"12 x 3,000M 0.65T12x3,000M 0.65T White",3,35.5,18.5,3276.0,2024-03-14,676,32.9,휴면
경인팩,반자동밴딩기저상형/대만제,4,67.0,61.0,1.0,2025-11-04,76,32.3,일회성
CYKLOP PACKAGING SYSTEMS PTY LTD.,"9 x 4,000M 0.60T9 x 4,000M 0.60T Blue",3,299.0,254.0,835.2,2025-11-02,78,32.3,일회성
광림포장기계,PP15MPP15MM*10KG(황색),4,70.7,43.4,640.0,2024-11-06,439,31.3,휴면
TIGERPAK PACKAGING,"12 x 3,000M 0.52T12 x 3,000M 0.52T 투명",4,104.0,64.5,4271.4,2024-11-29,416,31.0,휴면
신광포장기계,PP12MPP12M／M10KG(투명),4,168.0,186.6,355.0,2025-12-29,21,30.8,일회성
(주)스피드랩코리아,운송료,4,210.0,263.5,0.75,2025-12-23,27,30.5,일회성
대화수지공업(주),PE원료LLD PE,7,11.5,22.1,21215.0,2025-06-26,207,29.7,휴면
OMNI GROUP,"12 x 3,000M 0.60T12x3,000M0.60TBLUE",4,71.0,46.0,2295.0,2024-08-03,534,29.6,휴면
광림포장기계,PP12MPP12M／M12.5KG (황),4,134.3,112.7,500.0,2025-07-08,195,29.4,휴면
대성포장기계,"PE28mm, 6KGPE28M／M(백)6KG",4,134.3,110.4,30.0,2025-06-17,216,29.1,휴면
진송팩,PP12MPP12M／M10KG(황),4,140.7,115.0,382.5,2025-06-11,222,28.9,휴면
경인팩,스트레치필름(일반 기계랩)20*500mm*1400m,4,110.0,76.3,50.0,2025-01-09,375,27.3,휴면
(주)거성씨푸드,PP15MPP15M／M10KG(투명),4,126.3,93.9,112.5,2025-02-21,332,26.6,휴면
한국포장기계,PP6MMPP6M／M10KG(황),6,57.2,47.8,473.33,2024-11-19,426,26.3,휴면
주식회사 광림파워팩,PE28mm 2kgPE28M／M(백)2KG,6,68.0,59.4,532.0,2025-02-17,336,25.9,휴면
서울상사,PP12MPP12M／M10KG(투명),5,101.2,100.0,260.0,2025-06-25,208,24.2,휴면
경인팩,스트레치필름(일반 핸드랩)15*500mm*400m,8,36.9,36.8,50.0,2024-11-18,427,24.1,휴면
OMNI GROUP,PP19M HD BlackPP19M／M*1000M1.0TBlack,3,78.0,55.0,2198.0,2024-06-07,591,23.7,휴면
보우팩,PP6MMPP6M／M10KG(백),4,50.0,39.1,2510.0,2024-05-31,598,22.9,휴면
보우팩,PE28mm 2kgPE28M／M(청)2KG,4,193.0,259.5,90.0,2025-08-06,166,22.9,일회성
신광포장기계,PP18MPP18M／M10KG(황),4,80.0,78.3,80.0,2025-07-03,200,22.1,휴면
세움패키지(SEUMPKG),PP15MPP15MM*10KG(황색),4,150.0,177.3,377.5,2025-07-10,193,21.4,휴면
보우팩,PE28mm 2kgPE28M／M(황)2KG,3,282.5,274.5,40.0,2025-08-06,166,21.3,일회성
(주)영화수출포장 김포공장,PE 결속끈PE#50 (백) 5500m 5KG,3,42.0,40.0,400.0,2025-05-21,243,18.1,휴면
파워엠팩,PP10.5MPP10.5M10KG투명,5,18.2,23.6,760.0,2024-03-28,662,15.0,휴면
"주식회사 오비아이(OBI co.,Ltd.)",PP8MPP8M／M10KG(백),4,130.3,140.5,30.0,2025-02-05,348,12.9,휴면
파워엠팩,팔레트팔레트,4,24.3,29.5,-0.75,2024-03-28,662,12.0,휴면
파코팩(PACO PACK),PE28mm 2kgPE28M／M(백)2KG,3,74.5,70.5,466.67,2024-06-01,597,11.7,휴면
