거래처,품목,주문횟수,평균주기(일),주기표준편차,평균수량(kg),최근주문일,경과일수,주문규칙성점수,거래유형
WESTSIDE PACKAGING SYSTEMS AUSTRALIA,PP 12MM12MMx1000Mx0.55MM Blue,2,347.0,0.0,669.6,2025-11-27,53,73.1,일회성
태광오토팩,PP7MPP7M10KG백색,5,131.2,24.4,500.0,2025-12-01,49,73.0,불규칙
다금마대,마대,19,38.4,19.9,236.79,2025-12-29,21,72.9,안정
전주삼신산업,PP15MPP15MM*10KG(황색),10,74.2,37.3,139.0,2025-12-12,38,72.8,안정
세움패키지(SEUMPKG),PP7MPP7M10KG백색,2,422.0,0.0,550.0,2025-11-19,61,72.7,일회성
TIGERPAK PACKAGING,"15 x 1,000M 0.50T Blue15x1,000M0.50T청색",13,58.6,30.3,2661.15,2025-12-25,25,72.7,안정
하영종합상사,PE28mm 2kgPE28M／M(백)2KG,11,57.3,24.3,109.09,2025-09-29,112,72.7,불규칙
(주)탐스텍,PP 12MM 2000M 0.80MM Blue12mm 2000m 0.80mm Blue,8,86.4,35.0,2450.25,2025-12-29,21,72.6,안정
NZ SAFETY BLACKWOODS,PP 12MM12MMx1000Mx0.55MM Blue,3,228.0,10.0,595.2,2025-11-02,78,72.5,불규칙
신광포장기계,PP12MPP12M／M10KG(백),12,56.0,29.9,273.33,2026-01-05,14,72.5,안정
KOMERI,15 x 100M 0.55T15x100M0.55T녹색,15,45.5,22.1,224.35,2025-11-23,57,72.5,안정
KOMERI,"15 x 1,000M 0.55T Yellow15x1,000M0.55T 황색",15,45.5,22.1,1891.74,2025-11-23,57,72.5,안정
KOMERI,15 x 100M 0.55T15x100M0.55T적색,15,45.5,22.3,190.24,2025-11-23,57,72.4,안정
천일포장산업,PP6MMPP6M／M10KG(백),26,28.0,14.0,2141.15,2025-12-01,49,72.3,안정
ANDERSON WHOLESALE PACKAGING PTY LTD.,PP 12MM12MMx1000Mx0.50MM Blue,12,61.3,31.5,1184.41,2025-12-14,36,72.3,안정
ANDERSON WHOLESALE PACKAGING PTY LTD.,Ocean FreightOcean Freight (선임),12,61.3,31.5,1.0,2025-12-14,36,72.3,안정
ANDERSON WHOLESALE PACKAGING PTY LTD.,"12 x 3,000M 0.60T12x3,000M0.60TCLEAR",12,61.3,31.5,3837.9,2025-12-14,36,72.3,안정
ANDERSON WHOLESALE PACKAGING PTY LTD.,"12 x 3,000M 0.60T12x3,000M0.60TBLUE",12,61.3,31.5,6859.05,2025-12-14,36,72.3,안정
TT ENDUSTRIYEL AMBALAJ MAKINE SANAYI VE TIC A.S,"12 x 3,000M 0.55T12 x 3,000M 0.55T 백색",2,159.0,0.0,2453.4,2025-11-08,72,72.1,일회성
TT ENDUSTRIYEL AMBALAJ MAKINE SANAYI VE TIC A.S,PP 05MM05MM x 7500 x 0.45MM White,2,159.0,0.0,4903.5,2025-11-08,72,72.1,일회성
TIGERPAK PACKAGING,PP 12MM12MMx1000Mx0.50MM Blue,12,63.9,34.1,2021.25,2025-12-25,25,71.9,안정
주식회사 두손포장,PE28mm 2kgPE28M／M(백)2KG,2,406.0,0.0,100.0,2025-11-06,74,71.9,일회성
주식회사 엠피아이,PE28mm 2kgPE28M／M(백)2KG,2,345.0,0.0,100.0,2025-11-05,75,71.9,일회성
주식회사 엠피아이,운송료,2,345.0,0.0,5.0,2025-11-05,75,71.9,일회성
대상산업,"PE50mm, 6KGPE50M／M(백)6KG",43,16.6,8.9,291.35,2025-12-22,28,71.8,안정
PARAMOUNT PAPER MERCHANTS PTY LTD.,"15 x 1,000M 0.85T H/D Black w/paper core15 x 1,000M 0.85T H/D Black w/paper core",2,524.0,0.0,2052.0,2025-11-02,78,71.7,일회성
에어프로 주식회사,PE28mm 2kgPE28M／M(백)2KG,2,406.0,0.0,200.0,2025-10-31,80,71.6,일회성
에어프로 주식회사,PP12MPP12M／M10KG(황),2,406.0,0.0,150.0,2025-10-31,80,71.6,일회성
연화수출포장,운송료,17,39.5,21.6,1.0,2025-12-31,19,71.6,안정
CYKLOP PACKAGING SYSTEMS PTY LTD.,"15 x 2,500M 0.70T15 x 2,500M 0.70T 청색",6,141.0,42.4,1431.0,2025-12-25,25,71.6,안정
어드밴스,운반임40택배비,3,332.5,38.5,2.67,2025-12-17,33,71.4,불규칙
어드밴스,"12 x 3,017M 0.55T12x3,017M(투명)",3,332.5,38.5,58.67,2025-12-17,33,71.4,불규칙
주식회사 대한종합포장,PP5MMx7000Mx0.5T 백색,10,65.3,32.7,34.0,2025-11-10,70,71.2,안정
민건 이에이,PP12MPP12M／M10KG(백),24,30.2,16.5,702.08,2025-12-24,26,71.2,안정
WESTSIDE PACKAGING SYSTEMS AUSTRALIA,"15 x 2,300M 0.70T15 x 2,300M 0.70T 투명",3,220.0,5.0,9171.25,2025-09-17,124,71.1,불규칙
대전인재사,스트레치필름(일반 핸드랩 20)20*500mm*350m,2,322.0,0.0,64.0,2025-10-17,94,70.8,일회성
대전인재사,운송료,2,322.0,0.0,1.0,2025-10-17,94,70.8,일회성
