,거래건수,거래일수,평균주기(일),중앙값주기(일),표준편차(일),최소주기(일),최대주기(일),최초거래일,최근거래일,총거래기간(일),평균월거래량(kg),평균월매출액,주기규칙성
SEDL,45,6,337.8,266,135,182,524,2011-05-30 0:00,2016-01-13 0:00,1689,18901.17,31287160,규칙적
대전인재사,45,31,188.1,128,176,10,726,2010-05-07 0:00,2025-10-17 0:00,5642,870.55,2095410,불규칙적
제일산업(주)안성공장,44,42,50.5,41,46.7,4,273,2018-06-28 0:00,2024-02-28 0:00,2071,1432.3,4127568,불규칙적
(주)스피드랩코리아,44,38,44.6,30,78.2,2,485,2021-06-30 0:00,2026-01-05 0:00,1650,921.03,1910469,불규칙적
유일,44,35,52.3,43,48.6,1,198,2021-01-07 0:00,2025-11-21 0:00,1779,1783.03,4080877,불규칙적
(주)한국유니콤,43,39,148.1,140,101.4,4,455,2010-02-04 0:00,2025-07-03 0:00,5628,504.86,1363343,불규칙적
세화종합상사,42,37,86.1,72.5,54.2,22,279,2017-05-31 0:00,2025-11-24 0:00,3099,40.81,124892,불규칙적
대영포장(주)대구지점,42,37,30.7,30,9.9,4,58,2017-07-14 0:00,2020-07-23 0:00,1105,2207.74,3641710,규칙적
어드밴스,42,21,175,138.5,80.9,100,371,2016-05-19 0:00,2025-12-17 0:00,3499,54.29,123367,규칙적
LANDEN,42,42,18.2,15,15.1,7,102,2010-02-02 0:00,2012-02-20 0:00,748,27323.26,66774893,불규칙적
동양프린팅,41,41,139.5,114.5,90.7,31,498,2010-03-08 0:00,2025-06-18 0:00,5581,21.95,67707,불규칙적
WESTSIDE PACKAGING SYSTEMS AUSTRALIA,41,9,70.8,63,20.6,51,111,2024-05-10 0:00,2025-11-27 0:00,566,14843.77,33838839,규칙적
ARMSTRONG,41,8,94.1,91,38.1,42,150,2010-02-11 0:00,2011-12-02 0:00,659,7846.11,20276350,규칙적
KONZ TRADING LTD.,39,29,175.4,164.5,61,80,315,2012-06-02 0:00,2025-11-12 0:00,4911,7554.7,17353261,규칙적
홍영산업,38,36,51.1,40,32.5,7,151,2010-02-05 0:00,2014-12-30 0:00,1789,578.31,1617659,불규칙적
RICK MACGOWAN AGENCIES,38,8,135.3,150,64.4,44,220,2016-02-07 0:00,2018-09-11 0:00,947,10294.38,17404740,규칙적
SMART SHIELD PACKAGING,38,11,398.8,378,99.9,240,608,2014-05-24 0:00,2025-04-24 0:00,3988,14874.97,37706798,규칙적
대영포장(주)안산공장,37,35,50.2,12,147.4,4,727,2016-04-30 0:00,2021-01-01 0:00,1707,2243.61,3891111,불규칙적
(주)베스테크,37,32,41.9,15,99,3,552,2022-04-22 0:00,2025-11-11 0:00,1299,445.89,13286579,불규칙적
연화수출포장,36,19,35.1,31.5,21.1,7,86,2024-04-08 0:00,2025-12-31 0:00,632,410.67,964200,불규칙적
피앤비,35,23,50,48,26.7,5,106,2022-11-03 0:00,2025-11-06 0:00,1099,630.76,1653905,불규칙적
동광포장,35,32,90.6,19,371.7,2,2123,2010-04-01 0:00,2017-12-08 0:00,2808,317.2,850800,불규칙적
PROPAK INDUSTRIES PTY LTD.,34,9,143.6,123.5,102.3,39,392,2014-07-19 0:00,2017-09-10 0:00,1149,8676.56,18091473,불규칙적
하영종합상사,34,18,76.1,59,47.4,3,197,2022-03-16 0:00,2025-09-29 0:00,1293,128.35,414412,불규칙적
(주)범영화성,34,34,41.2,40,19.5,6,82,2010-01-19 0:00,2013-10-10 0:00,1360,461.55,1266077,규칙적
경은종합상사,33,25,129.2,72,162.8,2,632,2016-10-26 0:00,2025-04-23 0:00,3101,118,309826,불규칙적
주식회사 삼성종합포장,32,28,133.6,128,62.7,5,282,2016-02-02 0:00,2025-12-18 0:00,3607,411.56,1210926,규칙적
태영포장산업,32,32,72.6,76,28.1,18,141,2010-03-05 0:00,2016-05-02 0:00,2250,222.58,652355,규칙적
대원포장기계,31,27,36.2,31,22.1,2,78,2015-12-15 0:00,2018-07-13 0:00,941,295.22,770783,불규칙적
주식회사 마크원테크,31,16,29.9,19,30,3,104,2024-09-27 0:00,2025-12-19 0:00,448,1037.64,2267273,불규칙적
CORPORATEEXPRESS,31,7,165.8,183,51.4,90,225,2010-02-13 0:00,2012-11-04 0:00,995,10534.86,22743402,규칙적
VINAPACK,30,4,267.7,307,93.2,139,357,2023-07-18 0:00,2025-09-28 0:00,803,14486.6,34305916,규칙적
대흥수출포장,28,28,38.6,26,39.6,6,204,2023-02-27 0:00,2026-01-05 0:00,1043,126.82,366909,불규칙적
세계산업,27,27,83.6,66,72.1,6,304,2014-09-15 0:00,2020-08-28 0:00,2174,30,86038,불규칙적
제이앤에스 캠,27,20,42.7,41,30.4,7,131,2016-12-12 0:00,2019-03-04 0:00,812,956.89,1612189,불규칙적
조은상사,27,26,91,82,36.6,4,151,2010-01-11 0:00,2016-04-05 0:00,2276,506.88,1419590,규칙적
(주)제일에스엔씨,27,14,49.5,50,13.4,27,78,2016-05-04 0:00,2018-02-06 0:00,643,43.38,117462,규칙적
온라인패키지(onlinepkg),26,14,112.6,96,108.3,8,399,2018-10-24 0:00,2022-10-27 0:00,1464,608,1603667,불규칙적
삼성니플,25,25,167.8,137.5,121.8,16,646,2010-02-22 0:00,2021-03-04 0:00,4028,76.08,151854,불규칙적
주식회사 진도종합상사,25,16,42.7,35,17.7,22,92,2024-04-04 0:00,2026-01-05 0:00,641,84.88,248750,규칙적
(주)영화수출포장,24,24,70.2,71,21.5,20,99,2021-06-14 0:00,2025-11-14 0:00,1614,541.67,1591667,규칙적
삼성종합포장,24,20,110.3,114,30.5,50,170,2010-05-03 0:00,2016-01-27 0:00,2095,500,1481150,규칙적
대한록크,23,21,35.3,34,12.4,15,55,2017-12-27 0:00,2019-12-03 0:00,706,200,605500,규칙적
(주)삼영피앤텍,22,22,55.7,56,21.9,27,100,2022-08-25 0:00,2025-11-06 0:00,1169,42.73,153818,규칙적
(주)드림패키지,22,13,26.9,20.5,22.2,5,84,2015-11-19 0:00,2016-10-07 0:00,323,287.25,1236990,불규칙적
주식회사 대진화학,22,22,45.2,42,19.1,24,109,2017-11-10 0:00,2020-06-17 0:00,950,885.71,1710476,규칙적
주식회사 지에스티코리아,22,22,36.4,28,26.7,6,102,2014-12-22 0:00,2017-01-24 0:00,764,49,93980,불규칙적
(주)금성칼라팩,21,20,90.3,82,29.7,44,164,2021-03-15 0:00,2025-11-24 0:00,1715,1237,2906950,규칙적
FLEXIBLE,21,11,468.8,336,364.9,85,1317,2011-10-14 0:00,2024-08-14 0:00,4688,6134.55,12372638,불규칙적
삼현산업팩,21,3,221,221,29,192,250,2010-03-12 0:00,2011-05-28 0:00,442,5686.67,11370998,규칙적
평원산업,21,6,122.4,100,75.7,34,262,2024-02-20 0:00,2025-10-24 0:00,612,1078.67,3122333,불규칙적
주식회사 홍영,20,16,251.8,73,684.3,2,2807,2012-02-09 0:00,2022-06-13 0:00,3777,584.14,1687864,불규칙적
유일포장기계,20,17,126.4,83.5,182,1,765,2020-05-18 0:00,2025-12-01 0:00,2023,192.33,1105550,불규칙적
산업포장유통(주),20,18,322.1,98,364.6,27,1289,2010-06-16 0:00,2025-06-12 0:00,5475,383.39,1045278,불규칙적
(주)디알젬 (구미공장지점),20,15,176.8,151.5,137.1,4,519,2017-01-09 0:00,2023-10-20 0:00,2475,5891.54,385154,불규칙적
현진산업,20,15,106.9,109.5,38.7,8,165,2017-06-22 0:00,2021-07-28 0:00,1497,46.64,85429,규칙적
OMNI GROUP,19,6,84.8,62,48.1,23,149,2023-11-02 0:00,2024-12-30 0:00,424,8779.8,20091013,불규칙적
라이커스,19,6,128.6,150,57.8,35,199,2024-03-26 0:00,2025-12-29 0:00,643,5271.83,9058375,규칙적
한성기업,19,17,125.7,89,92.1,28,322,2010-03-22 0:00,2015-09-23 0:00,2011,143.53,434765,불규칙적
(주)비와이패키지,19,16,52.2,68,34.8,3,102,2021-03-12 0:00,2023-05-04 0:00,783,629.17,1486958,불규칙적
광신화학공업사,19,18,70.4,62,44.2,5,213,2015-07-13 0:00,2018-10-22 0:00,1197,999.44,1729611,불규칙적
(주)태광피엔에스,19,11,111,53,114.3,3,361,2021-07-02 0:00,2024-07-16 0:00,1110,913.33,773778,불규칙적
보성상사,18,17,59.2,61,16.8,32,93,2016-05-30 0:00,2019-01-02 0:00,947,27.71,58771,규칙적
(주)창성밴드,18,17,108.1,98.5,51.4,28,237,2015-07-17 0:00,2020-04-10 0:00,1729,300,861250,규칙적
(주)시몬사,18,18,271.4,211,140.5,146,656,2010-02-24 0:00,2022-10-12 0:00,4613,577.78,1650000,불규칙적
디에스엠,18,12,157.4,159,116,3,444,2012-06-27 0:00,2017-03-24 0:00,1731,5761.6,274500,불규칙적
코팩시스템,18,10,41,42,6.2,33,51,2017-02-03 0:00,2018-02-07 0:00,369,62.4,172800,규칙적
주식회사 삼우텍,18,11,235.9,193.5,205.2,5,803,2019-06-20 0:00,2025-12-04 0:00,2359,135.4,398500,불규칙적
INDUSTRIAL PERSPECTIVES EST,18,4,337,375,87.5,216,420,2017-05-08 0:00,2020-02-13 0:00,1011,8903.5,18528111,규칙적
"주식회사 오비아이(OBI co.,Ltd.)",18,18,81.4,77,55.3,10,175,2022-01-20 0:00,2025-11-04 0:00,1384,280.75,819594,불규칙적
STAPLES AUSTRALIA PTY LTD.,17,10,128,123,85.4,19,294,2013-03-26 0:00,2016-05-21 0:00,1152,3178.78,6739377,불규칙적
주식회사 인선,17,12,139.3,65,143.9,7,467,2020-12-31 0:00,2025-03-12 0:00,1532,3634.1,8409620,불규칙적
서윤상사,17,8,135.7,112,103.8,12,374,2021-07-01 0:00,2024-02-06 0:00,950,476,1581000,불규칙적
(주)거성씨푸드,17,10,71.1,66,74.9,2,259,2023-05-23 0:00,2025-02-21 0:00,640,200.25,744688,불규칙적
미래상사,17,17,84.7,82,31.4,31,159,2010-04-02 0:00,2013-12-17 0:00,1355,54.12,159188,규칙적
