,거래건수,거래일수,평균주기(일),중앙값주기(일),표준편차(일),최소주기(일),최대주기(일),최초거래일,최근거래일,총거래기간(일),평균월거래량(kg),평균월매출액,주기규칙성
밥스트코리아(주) (Bobst Korea Co.Ltd),1,1,,,,,,2025-11-06 0:00,2025-11-06 0:00,0,4,128400,N/A
한량지대,1,1,,,,,,2010-01-13 0:00,2010-01-13 0:00,0,40,104000,N/A
다원메디칼,1,1,,,,,,2025-06-26 0:00,2025-06-26 0:00,0,10,140000,N/A
동성지기,1,1,,,,,,2025-06-19 0:00,2025-06-19 0:00,0,20,70000,N/A
칠현산복조리,1,1,,,,,,2025-06-03 0:00,2025-06-03 0:00,0,1120,2672727,N/A
(주)별표비니루,1,1,,,,,,2010-02-01 0:00,2010-02-01 0:00,0,20,36000,N/A
신화종합화학,1,1,,,,,,2010-02-22 0:00,2010-02-22 0:00,0,20,54000,N/A
SHENG,1,1,,,,,,2010-05-08 0:00,2010-05-08 0:00,0,40,5912920,N/A
신화산업,1,1,,,,,,2011-03-15 0:00,2011-03-15 0:00,0,20,59000,N/A
선한계란,1,1,,,,,,2024-10-21 0:00,2024-10-21 0:00,0,50,150000,N/A
거우피엔에스,1,1,,,,,,2024-10-15 0:00,2024-10-15 0:00,0,2,5000000,N/A
대왕프린팅,1,1,,,,,,2023-09-22 0:00,2023-09-22 0:00,0,1250,2600000,N/A
토다이수(주),1,1,,,,,,2010-08-18 0:00,2010-08-18 0:00,0,400,840000,N/A
성산포장,1,1,,,,,,2010-08-20 0:00,2010-08-20 0:00,0,40,108000,N/A
주식회사 엠에스산업,1,1,,,,,,2024-05-30 0:00,2024-05-30 0:00,0,200,420000,N/A
대진화학,1,1,,,,,,2010-12-15 0:00,2010-12-15 0:00,0,240,619200,N/A
정우지기,1,1,,,,,,2011-03-10 0:00,2011-03-10 0:00,0,500,950000,N/A
(주)준영알엔디,1,1,,,,,,2012-09-12 0:00,2012-09-12 0:00,0,600,1770000,N/A
한국에스엠,1,1,,,,,,2015-02-04 0:00,2015-02-04 0:00,0,2000,2860000,N/A
조선일보중앙일보역고지국,1,1,,,,,,2013-09-09 0:00,2013-09-09 0:00,0,50,105000,N/A
현대스마트용접기,1,1,,,,,,2022-08-09 0:00,2022-08-09 0:00,0,10,25000,N/A
신광포장,1,1,,,,,,2017-07-20 0:00,2017-07-20 0:00,0,400,660000,N/A
유리키스,1,1,,,,,,2017-08-08 0:00,2017-08-08 0:00,0,20,38000,N/A
에그홈,1,1,,,,,,2022-05-11 0:00,2022-05-11 0:00,0,320,1200000,N/A
(주)그린엔텍,1,1,,,,,,2017-09-08 0:00,2017-09-08 0:00,0,1000,1700000,N/A
두산종합기계,1,1,,,,,,2022-04-06 0:00,2022-04-06 0:00,0,1,350000,N/A
디앤에이치,1,1,,,,,,2018-03-07 0:00,2018-03-07 0:00,0,4,0,N/A
현진종합상사,1,1,,,,,,2022-03-10 0:00,2022-03-10 0:00,0,200,600000,N/A
(주)현진인쇄,1,1,,,,,,2022-02-28 0:00,2022-02-28 0:00,0,40,140000,N/A
(주)코팩시스템,1,1,,,,,,2018-05-18 0:00,2018-05-18 0:00,0,20,46000,N/A
주식회사 예림필터,1,1,,,,,,2022-01-25 0:00,2022-01-25 0:00,0,1,0,N/A
주식회사 지비트레이닝,1,1,,,,,,2018-07-06 0:00,2018-07-06 0:00,0,4,26680,N/A
다온,1,1,,,,,,2018-08-23 0:00,2018-08-23 0:00,0,1000,2000000,N/A
세일양행,1,1,,,,,,2018-11-27 0:00,2018-11-27 0:00,0,100,330000,N/A
주식회사 금도,1,1,,,,,,2021-11-26 0:00,2021-11-26 0:00,0,1,1000000,N/A
한국수출포장(주),1,1,,,,,,2018-11-29 0:00,2018-11-29 0:00,0,5,0,N/A
진양상사,1,1,,,,,,2021-09-07 0:00,2021-09-07 0:00,0,80,240000,N/A
씨날섬유,1,1,,,,,,2020-02-27 0:00,2020-02-27 0:00,0,200,380000,N/A
대은산업(주),1,1,,,,,,2020-04-16 0:00,2020-04-16 0:00,0,1800,4320000,N/A
(주)하나로티앤에스,1,1,,,,,,2021-07-29 0:00,2021-07-29 0:00,0,147,260000,N/A
이디피부여점,1,1,,,,,,2020-08-12 0:00,2020-08-12 0:00,0,480,1560000,N/A
송탄에이치엘(HL),1,1,,,,,,2020-09-15 0:00,2020-09-15 0:00,0,240,780000,N/A
한가람농산,1,1,,,,,,2021-06-29 0:00,2021-06-29 0:00,0,100,325000,N/A
태양산업,1,1,,,,,,2020-12-15 0:00,2020-12-15 0:00,0,1,2850000,N/A
주식회사 알루마켓,1,1,,,,,,2017-01-04 0:00,2017-01-04 0:00,0,120,214000,N/A
넘버원 종합포장,1,1,,,,,,2016-11-16 0:00,2016-11-16 0:00,0,100,175000,N/A
(주)한제피앤에스진영공장,1,1,,,,,,2013-09-23 0:00,2013-09-23 0:00,0,400,824000,N/A
용실업,1,1,,,,,,2016-09-07 0:00,2016-09-07 0:00,0,1,1100000,N/A
주식회사 이안하이텍,1,1,,,,,,2023-08-24 0:00,2023-08-24 0:00,0,672,1478400,N/A
범진수출포장상사,1,1,,,,,,2023-08-24 0:00,2023-08-24 0:00,0,200,620000,N/A
신우상사,1,1,,,,,,2013-10-18 0:00,2013-10-18 0:00,0,15,32250,N/A
조선일보중앙일보역곡지국,1,1,,,,,,2013-12-06 0:00,2013-12-06 0:00,0,20,42000,N/A
관인화학,1,1,,,,,,2013-12-31 0:00,2013-12-31 0:00,0,3300,660000,N/A
동성화학공업(주),1,1,,,,,,2014-04-23 0:00,2014-04-23 0:00,0,26070,39105000,N/A
수원우체국,1,1,,,,,,2023-07-24 0:00,2023-07-24 0:00,0,200,700000,N/A
"JIAXING RYUCHEON CO., LTD.",1,1,,,,,,2014-07-26 0:00,2014-07-26 0:00,0,1,5140000,N/A
에벤종합상사,1,1,,,,,,2014-12-09 0:00,2014-12-09 0:00,0,20,60000,N/A
보령시청,1,1,,,,,,2015-01-08 0:00,2015-01-08 0:00,0,50,150000,N/A
(주)보림에스앤피,1,1,,,,,,2023-05-03 0:00,2023-05-03 0:00,0,40,100000,N/A
경성상사,1,1,,,,,,2023-04-17 0:00,2023-04-17 0:00,0,20,48000,N/A
대원산업사,1,1,,,,,,2015-04-02 0:00,2015-04-02 0:00,0,24,44400,N/A
드림디포 용산점,1,1,,,,,,2015-04-08 0:00,2015-04-08 0:00,0,240,720000,N/A
신도전자,1,1,,,,,,2015-04-21 0:00,2015-04-21 0:00,0,50,45000,N/A
(주)명성에이디에스,1,1,,,,,,2015-06-02 0:00,2015-06-02 0:00,0,15,27176,N/A
한강포장,1,1,,,,,,2015-06-18 0:00,2015-06-18 0:00,0,500,925000,N/A
화장지발전소,1,1,,,,,,2015-08-25 0:00,2015-08-25 0:00,0,40,78000,N/A
대신정기화물 시흥계수영업소,1,1,,,,,,2015-11-09 0:00,2015-11-09 0:00,0,20,134000,N/A
주식회사 티비블럭,1,1,,,,,,2015-11-20 0:00,2015-11-20 0:00,0,11,22000,N/A
대한종합상사,1,1,,,,,,2016-03-10 0:00,2016-03-10 0:00,0,800,2200000,N/A
서진밴드,1,1,,,,,,2016-03-28 0:00,2016-03-28 0:00,0,9928,21841600,N/A
(주)알루코,1,1,,,,,,2016-07-05 0:00,2016-07-05 0:00,0,90,160500,N/A
대준수산,1,1,,,,,,2025-12-30 0:00,2025-12-30 0:00,0,50,115000,N/A
