일자,거래처명,창고,품   목 [규격],수량(kg),단위,단가,외화금액,공급가액,부가세,합계,적요,법인명(삼성),오더번호
20100310,삼성전자(주),PP,18MMx 21kg 삼성2520M두께0.9mm단중8.56g,3264.0000000000,KG,1842.6200000000,0.0000000000,6021342.0000000000,123721.0000000000,6145063.0000000000,수출 20, , 
20100311,대경(박타원),PP,PP12MPP12M／M12.5KG(아.그린),8877.0000000000,KG,1921.4117647059,0.0000000000,17438843.0000000000,1372719.0000000000,18811562.0000000000,50롤, , 
20100312,삼현산업팩,PP,PP 12MM12MM 2200 0.60MM White,8335.5000000000,KG,955.1296000000,12139.0000000000,16968009.0000000000,323880.0000000000,17291889.0000000000, , , 
20100313,PUNCHBOWL,PP,PP19M HD BlackPP19M／M*1000M1.0TBlack,31630.0000000000,KG,36.5556200000,1804777.0000000000,68123805.0000000000,0.0000000000,68123805.0000000000, , , 
20100315,삼성전자(주),PP,18MMx 21kg 삼성2520M두께0.9mm단중8.56g,17468.0000000000,KG,1620.7017500000,28980.0000000000,38448490.0000000000,145494.0000000000,38593984.0000000000,수출 17, , 
20100316,경인팩,PE,PE28mm 2kgPE28M／M(황)2KG,280.0000000000,KG,2100.0000000000,0.0000000000,516000.0000000000,51600.0000000000,567600.0000000000,1박스, , 
20100317,(주)교학사,PP,PP12MPP12M／M12.5(황),5170.0000000000,KG,1923.8750000000,0.0000000000,10292130.0000000000,1029213.0000000000,11321343.0000000000,50롤, , 
20100318,삼원산업,PE,PE28mm 2kgPE28M／M(백)2KG,19006.0000000000,KG,2033.2237384615,0.0000000000,38368798.0000000000,2104830.0000000000,40473628.0000000000,10박스, , 
20100319,삼성전자(주),PP,18MMx 21kg 삼성2520M두께0.9mm단중8.56g,7615.0000000000,KG,1905.0111111111,0.0000000000,14180975.0000000000,193489.0000000000,14374464.0000000000,수출 160, , 
20100322,삼성전자(주),PP,18MMx 21kg 삼성2520M두께0.9mm단중8.56g,1182.0000000000,KG,2041.4428571429,0.0000000000,2093272.0000000000,190500.0000000000,2283772.0000000000,수출 2, , 
20100323,충남상회,PE,PE28mm 2kgPE28M／M(백)2KG,1380.0000000000,KG,2475.0000000000,0.0000000000,3275000.0000000000,327500.0000000000,3602500.0000000000,10박스, , 
20100324,삼성전자(주),PP,18MMx 21kg 삼성2520M두께0.9mm단중8.56g,9192.0000000000,KG,1933.8538461538,0.0000000000,16427110.0000000000,1396444.0000000000,17823554.0000000000,내수 15, , 
20100325,광림포장기계컨베이어,PP,PP12MPP12M／M12.5(황),4260.0000000000,KG,1918.7500000000,0.0000000000,8046500.0000000000,804650.0000000000,8851150.0000000000,100롤, , 
20100326,삼성전자(주),PP,18MMx 21kg 삼성2300M두께0.9mm단중9.1g,23361.0000000000,KG,1729.1133333333,30844.8000000000,45945048.0000000000,838652.0000000000,46783700.0000000000,수출 60, , 
20100327,LANDEN,PP,"12 x 3,000M 0.62T12x3,000M0.62T백색",15246.0000000000,KG,1.8182000000,27720.0000000000,31634064.0000000000,0.0000000000,31634064.0000000000, , , 
20100329,삼성전자(주),PP,18MMx 15kg 삼성1650M두께0.9mm단중8.56g,11071.0000000000,KG,2109.7700000000,0.0000000000,21880513.0000000000,1998434.0000000000,23878947.0000000000,수출 60, , 
20100330,삼성전자(주),PP,18MMx 21kg 삼성2300M두께0.9mm단중9.1g,10120.0000000000,KG,2291.4428571429,0.0000000000,19697390.0000000000,593000.0000000000,20290390.0000000000,수출 270, , 
20100331,전주삼신포장기계,PE,PE28mm 2kgPE28M／M(청)2KG,60.0000000000,KG,2550.0000000000,0.0000000000,153000.0000000000,15300.0000000000,168300.0000000000,1박스, , 
2010/03  계,,,,224080.5,,46856.3371558291,3509803.12,454051525,15164412,469215937,,,
20100401,동광포장,PE,PE28mm 2kgPE28M／M(백)2KG,1125.0000000000,KG,2120.0000000000,0.0000000000,2665000.0000000000,266500.0000000000,2931500.0000000000,20박스, , 
20100402,위니아만도(주),PP,18MMx 15kg 위니아1818MMx 15kg,6740.0000000000,KG,5469.5384615385,0.0000000000,20608716.0000000000,2014476.0000000000,22623192.0000000000, , , 
20100403,ABL,PP,"12 x 3,000M 0.60T12x3,000M0.60TBLUE",15082.0000000000,KG,5.4154666667,37103.7600000000,41864171.0000000000,0.0000000000,41864171.0000000000, , , 
20100405,(주)지엔에스트레이딩,PP,18MMx 21kg 삼성(내수)2520M두께0.9mm단중8.56g,3934.0000000000,KG,1795.5000000000,0.0000000000,7159972.0000000000,275239.0000000000,7435211.0000000000,내수 30, , 
20100406,광림포장기계컨베이어,PP,PP9MMPP9M／M10KG,7490.0000000000,KG,2075.0000000000,0.0000000000,16639500.0000000000,1663950.0000000000,18303450.0000000000,100롤, , 
20100407,신한화학포장기계(주),PE,PE28mm 2kgPE28M／M(백)2KG,1145.0000000000,KG,2333.3333333333,0.0000000000,2779000.0000000000,277900.0000000000,3056900.0000000000,50박스, , 
20100408,파워엠팩,PP,PP12MPP12M／M10KG(투명),5273.0000000000,KG,1879.3333333333,0.0000000000,9770313.0000000000,586535.0000000000,10356848.0000000000,80롤, , 
20100409,한서포장,PE,PE28mm 2kgPE28M／M(백)2KG,2460.0000000000,KG,2403.3200000000,0.0000000000,5682000.0000000000,568200.0000000000,6250200.0000000000,15박스, , 
20100410,TAPE,PP,PP 12MM12MMx1000Mx0.55MM Blue,32459.0000000000,KG,120.6768214286,65414.5300000000,74546088.0000000000,107250.0000000000,74653338.0000000000, , , 
20100412,(주)지엔에스트레이딩,PP,18MMx 21kg 삼성2300M두께0.9mm단중9.1g,8478.0000000000,KG,2173.7363636364,0.0000000000,15770834.0000000000,559406.0000000000,16330240.0000000000,수출 48, , 
20100413,(주)삼신,PE,PE28mm 2kgPE28M／M(백)2KG,3202.0000000000,KG,2203.8333333333,0.0000000000,7014662.0000000000,415360.0000000000,7430022.0000000000,50박스, , 
20100414,신광포장기계(부산),PE,PE28mm 2kgPE28M／M(백)2KG,976.0000000000,KG,2083.3333333333,0.0000000000,1804200.0000000000,180420.0000000000,1984620.0000000000,4박스, , 
20100415,합동포장기계,PE,PE28mm 2kgPE28M／M(백)2KG,2342.0000000000,KG,2073.5000000000,0.0000000000,4522660.0000000000,452266.0000000000,4974926.0000000000,15박스, , 
20100416,(주)지엔에스트레이딩,PP,18MMx 21kg 삼성2300M두께0.9mm단중9.1g,2605.0000000000,KG,2096.1428571429,0.0000000000,5467400.0000000000,353425.0000000000,5820825.0000000000,수출 3, , 
20100417,LANDEN,PP,"9 x 3,932M 0.60T9 x 3,932M 0.6T 백색",14868.0000000000,KG,2.0661000000,30718.8000000000,34057933.0000000000,0.0000000000,34057933.0000000000, , ,100317
