출하번호,출하창고명,품명,수량,진행상태,인쇄
20250702-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 5건,383.0000000000,진행중,인쇄
20250702-1,PP,PP6MM [PP6M／M10KG(백)] 외 4건,1123.0000000000,진행중,인쇄
20250701-1,PE,"PE50mm, 6KG [PE50M／M(백)6KG] 외 3건",931.0000000000,진행중,인쇄
20250630-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20250630-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,189.0000000000,진행중,인쇄
20250620-2,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20250620-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,561.0000000000,진행중,인쇄
20250619-1,PP,스트레치필름(일반 기계랩) [20*500mm*1400m],50.0000000000,진행중,인쇄
20250618-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20250617-1,PP,PP12M [PP12M／M10KG(백)],560.0000000000,진행중,인쇄
20250610-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,832.0000000000,진행중,인쇄
20250610-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1122.0000000000,진행중,인쇄
20250609-2,PP,PP6MM [PP6M／M10KG(백)] 외 3건,1124.0000000000,진행중,인쇄
20250604-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20250602-4,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",480.0000000000,진행중,인쇄
20250602-3,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1683.0000000000,진행중,인쇄
20250602-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20250602-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",1200.0000000000,진행중,인쇄
20250530-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",192.0000000000,진행중,인쇄
20250528-1,PP,PP6MM [PP6M／M10KG(백)] 외 5건,1685.0000000000,진행중,인쇄
20250523-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",361.0000000000,진행중,인쇄
20250514-4,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",672.0000000000,진행중,인쇄
20250514-3,상품,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2540.0000000000,진행중,인쇄
20250514-2,PP,PP6MM [PP6M／M10KG(황)] 외 3건,3556.0000000000,진행중,인쇄
20250513-1,상품,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,105.0000000000,진행중,인쇄
20250512-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,378.0000000000,진행중,인쇄
20250512-1,PP,PP6MM [PP6M／M10KG(백)] 외 3건,1124.0000000000,진행중,인쇄
20250509-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 3건,273.0000000000,진행중,인쇄
20250508-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 3건,636.0000000000,진행중,인쇄
20250507-1,PP,PP6MM [PP6M／M10KG(백)] 외 3건,562.0000000000,진행중,인쇄
20250425-4,상품,반자동밴딩기 [저상형/대만제] 외 1건,2.0000000000,진행중,인쇄
20250425-3,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2805.0000000000,진행중,인쇄
20250425-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1312.0000000000,진행중,인쇄
20250417-3,상품,반자동밴딩기 [저상형/대만제] 외 1건,2.0000000000,진행중,인쇄
20250417-2,PE,PE28mm 2kg [PE28M／M(백)2KG],900.0000000000,진행중,인쇄
20250417-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1683.0000000000,진행중,인쇄
20250416-4,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,401.0000000000,진행중,인쇄
20250416-3,PP,PP6MM [PP6M／M10KG(백)] 외 4건,1686.0000000000,진행중,인쇄
20250416-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1602.0000000000,진행중,인쇄
20250416-1,PP,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",1201.0000000000,진행중,인쇄
20250415-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20250408-3,PP,PP6MM [PP6M／M10KG(백)] 외 3건,1124.0000000000,진행중,인쇄
20250408-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1172.0000000000,진행중,인쇄
20250408-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2805.0000000000,진행중,인쇄
20250402-1,PP,PP6MM [PP6M／M10KG(백)] 외 3건,1124.0000000000,진행중,인쇄
20250331-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20250327-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,61.0000000000,진행중,인쇄
20250327-1,PP,PP6MM [PP6M／M10KG(백)] 외 3건,1122.0000000000,진행중,인쇄
20250319-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,1883.0000000000,진행중,인쇄
20250319-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2816.0000000000,진행중,인쇄
20250317-1,PP,PP6MM [PP6M／M10KG(백)] 외 3건,1123.0000000000,진행중,인쇄
20250305-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2805.0000000000,진행중,인쇄
20250305-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2592.0000000000,진행중,인쇄
20250304-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20250227-1,PP,PP6MM [PP6M／M10KG(백)] 외 3건,1122.0000000000,진행중,인쇄
20250224-2,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",1201.0000000000,진행중,인쇄
20250224-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,561.0000000000,진행중,인쇄
20250221-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,720.0000000000,진행중,인쇄
20250221-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1122.0000000000,진행중,인쇄
20250220-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 2건,1040.0000000000,진행중,인쇄
20250220-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,2215.0000000000,진행중,인쇄
20250214-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20250213-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1312.0000000000,진행중,인쇄
20250210-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 3건,273.0000000000,진행중,인쇄
20250204-2,PE,PE28mm 2kg [PE28M／M(백)2KG],600.0000000000,진행중,인쇄
20250204-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,3105.0000000000,진행중,인쇄
20250203-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 3건,411.0000000000,진행중,인쇄
20250203-1,PP,PP6MM [PP6M／M10KG(백)] 외 3건,1123.0000000000,진행중,인쇄
20250122-1,PE,"PE50mm, 6KG [PE50M／M(백)6KG] 외 1건",241.0000000000,진행중,인쇄
20250120-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",1201.0000000000,진행중,인쇄
20250115-2,PE,PE28mm 2kg [PE28M／M(청)2KG] 외 1건,772.0000000000,진행중,인쇄
20250115-1,PP,PP12M [PP12M／M12.5KG (황)] 외 2건,1372.0000000000,진행중,인쇄
20250113-2,PE,PE28mm 2kg [PE28M／M(백)2KG],1740.0000000000,진행중,인쇄
20250113-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,1613.0000000000,진행중,인쇄
20250109-1,상품,스트레치필름(일반 기계랩) [20*500mm*1400m] 외 1건,51.0000000000,진행중,인쇄
20250107-3,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20250107-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1122.0000000000,진행중,인쇄
20250106-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",576.0000000000,진행중,인쇄
20250102-3,PP,PP6MM [PP6M／M10KG(백)] 외 5건,1124.0000000000,진행중,인쇄
20250102-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 2건,2028.0000000000,진행중,인쇄
20250102-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1122.0000000000,진행중,인쇄
20241231-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,21.0000000000,진행중,인쇄
20241230-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,42.0000000000,진행중,인쇄
20241230-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20241224-1,PP,PP6MM [PP6M／M10KG(백)] 외 4건,1994.0000000000,진행중,인쇄
20241223-3,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20241223-2,PP,PP6MM [PP6M／M10KG(청)],180.0000000000,진행중,인쇄
20241223-1,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20241216-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2805.0000000000,진행중,인쇄
20241216-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 2건,2152.0000000000,진행중,인쇄
20241212-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 3건",1602.0000000000,진행중,인쇄
20241209-2,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20241209-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1020.0000000000,진행중,인쇄
20241205-1,PP,PP6MM [PP6M／M10KG(백)] 외 3건,2244.0000000000,진행중,인쇄
20241202-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20241126-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1720.0000000000,진행중,인쇄
20241122-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",193.0000000000,진행중,인쇄
20241119-1,상품,자동밴딩기 [(자동고상형 / 자동-380L)] 외 1건,2.0000000000,진행중,인쇄
20241118-3,상품,스트레치필름(일반 핸드랩) [15*500mm*400m],40.0000000000,진행중,인쇄
20241118-2,PP,PP15M [PP15MM*10KG(황색)] 외 2건,473.5000000000,진행중,인쇄
20241118-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 2건,1512.0000000000,진행중,인쇄
20241113-1,PE,PE50mm 2kg [PE50M／M(백)2KG] 외 1건,401.0000000000,진행중,인쇄
20241107-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,3366.0000000000,진행중,인쇄
20241107-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1952.0000000000,진행중,인쇄
20241106-1,PP,PP6MM [PP6M／M10KG(백)] 외 6건,1685.0000000000,진행중,인쇄
20241105-1,PP,PP6MM [PP6M／M10KG(백)],1440.0000000000,진행중,인쇄
20241104-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,81.0000000000,진행중,인쇄
20241104-1,PP,PP6MM [PP6M／M10KG(백)] 외 4건,1123.0000000000,진행중,인쇄
20241028-3,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20241028-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20241028-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",1200.0000000000,진행중,인쇄
20241016-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2955.0000000000,진행중,인쇄
20241016-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1952.0000000000,진행중,인쇄
20241008-2,PP,PP6MM [PP6M／M10KG(백)] 외 3건,2133.0000000000,진행중,인쇄
20241008-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 2건,2152.0000000000,진행중,인쇄
20241007-2,PP,PP6MM [PP6M／M10KG(백)] 외 5건,1124.0000000000,진행중,인쇄
20241007-1,PP,PP6MM [PP6M／M10KG(백)] 외 5건,1124.0000000000,진행중,인쇄
20241002-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240920-1,상품,스트레치필름(일반 기계랩) [20*500mm*1400m] 외 1건,51.0000000000,진행중,인쇄
20240919-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2592.0000000000,진행중,인쇄
20240919-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,3286.0000000000,진행중,인쇄
20240913-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",1201.0000000000,진행중,인쇄
20240904-1,상품,스트레치필름(일반 기계랩) [20*500mm*1400m] 외 1건,51.0000000000,진행중,인쇄
20240902-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,3898.0000000000,진행중,인쇄
20240902-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 3건,3032.0000000000,진행중,인쇄
20240826-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 3건,147.0000000000,진행중,인쇄
20240822-3,상품,스트레치필름(일반 핸드랩) [15*500mm*400m],40.0000000000,진행중,인쇄
20240822-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20240822-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2120.0000000000,진행중,인쇄
20240820-2,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",193.0000000000,진행중,인쇄
20240820-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240819-2,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",193.0000000000,진행중,인쇄
20240819-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240812-2,상품,스트레치필름(일반 핸드랩) [15*500mm*400m] 외 1건,41.0000000000,진행중,인쇄
20240812-1,PP,PP6MM [PP6M／M10KG(황)] 외 3건,1122.0000000000,진행중,인쇄
20240807-3,상품,스트레치필름(일반 핸드랩) [15*500mm*400m],40.0000000000,진행중,인쇄
20240807-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,3055.0000000000,진행중,인쇄
20240807-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 2건,3344.0000000000,진행중,인쇄
20240806-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,401.0000000000,진행중,인쇄
20240806-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240730-1,PP,PP6MM [PP6M／M10KG(백)] 외 5건,1124.0000000000,진행중,인쇄
20240723-3,PP,PP6MM [PP6M／M10KG(백)] 외 2건,2719.0000000000,진행중,인쇄
20240723-2,상품,스트레치필름(일반 핸드랩) [15*500mm*400m],40.0000000000,진행중,인쇄
20240723-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1952.0000000000,진행중,인쇄
20240722-4,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",193.0000000000,진행중,인쇄
20240719-3,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240719-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240719-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 2건",1777.0000000000,진행중,인쇄
20240712-1,PE,"PE50mm, 6KG [PE50M／M(백)6KG] 외 1건",241.0000000000,진행중,인쇄
20240711-2,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20240711-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2805.0000000000,진행중,인쇄
20240709-3,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1312.0000000000,진행중,인쇄
20240709-2,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 3건",490.0000000000,진행중,인쇄
20240709-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240626-3,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240626-2,PE,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20240626-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20240624-2,PE,PE28mm 2kg [PE28M／M(백)2KG],480.0000000000,진행중,인쇄
20240624-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1683.0000000000,진행중,인쇄
20240614-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",1201.0000000000,진행중,인쇄
20240613-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240611-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1312.0000000000,진행중,인쇄
20240607-3,PE,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20240607-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,3366.0000000000,진행중,인쇄
