"회사명 : (주)케이아이씨 / 2000/01/01  ~ 2026/01/05  / 생산입고현황"
"월/일	","생산된공장	","입고창고	","품명 및 규격	","수량	","생산금액	","적요	",""
"10/01/14-1	","PE	","PE	","PE28mm, 6KG [PE28M／M(백)6KG]	","864.000","0","야간	",""
"10/01/14-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","1,040.000","0","주간	",""
"10/01/14-2	","PE	","PE	","PE28mm, 6KG [PE28M／M(백)6KG]	","768.000","0","주간	",""
"10/01/14-3	","PP	","PP	","18MMx 21kg 삼성 [2520M두께0.9mm단중8.56g]	","1,050.000","0","	",""
"10/01/14-4	","PP	","PP	","PP12M [PP12M／M12.5KG]	","175.000","0","	",""
"10/01/14-4	","PP	","PP	","PP12M [PP12M／M12.5(황)]	","1,800.000","0","	",""
"10/01/14-5	","PP	","PP	","15.5 x 2,500M 0.55T [15.5x2,500M0.55T황색]	","1,992.800","0","	",""
"10/01/14-6	","PP	","PP	","PP12M [PP12M／M10KG(투명)]	","800.000","0","	",""
"10/01/14-7	","PP	","PP	","PP10.5M [PP10.5M10KG투명]	","320.000","0","	",""
"10/01/15-1	","PP	","PP	","STOPPER 50 PCS [STOPPER 50 PCS 투명]	","30,000.000","0","STOPPER	",""
"10/01/15-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","1,260.000","0","야간	",""
"10/01/15-2	","PE	","PE	","PE28mm, 6KG [PE28M／M(백)6KG]	","864.000","0","야간	",""
"10/01/15-4	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","1,060.000","0","주간	",""
"10/01/15-4	","PE	","PE	","PE28mm, 6KG [PE28M／M(백)6KG]	","744.000","0","주간	",""
"10/01/15-5	","PP	","PP	","PP10.5M [PP10.5M10KG투명]	","400.000","0","	",""
"10/01/15-6	","PP	","PP	","15.5 x 2,500M 0.55T [15.5x2,500M0.55T황색]	","1,399.200","0","	",""
"10/01/15-6	","PP	","PP	","15.5 x 2,500M 0.55T [15.5x2,500M0.55T청색]	","1,420.400","0","	",""
"10/01/15-7	","PP	","PP	","PP12M [PP12M／M12.5(황)]	","500.000","0","	",""
"10/01/15-8	","PP	","PP	","PP12M [PP12M／M10KG(황)]	","1,540.000","0","	",""
"10/01/15-9	","PP	","PP	","PP9MM [PP9M／M10KG(황)]	","500.000","0","	",""
"10/01/16-1	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","440.000","0","주간	",""
"10/01/16-1	","PE	","PE	","PE28mm, 6KG [PE28M／M(백)6KG]	","720.000","0","주간	",""
"10/01/16-2	","PP	","PP	","15.5 x 2,500M 0.55T [15.5x2,500M0.55T청색]	","275.600","0","	",""
"10/01/16-3	","PP	","PP	","PP12M [PP12M／M12KG(황)]	","240.000","0","	",""
"10/01/16-4	","PP	","PP	","PP9MM [PP9M／M10KG(황)]	","280.000","0","	",""
"10/01/18-1	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","520.000","0","야간	",""
"10/01/18-1	","PE	","PE	","PE28mm 2kg [PE28M／M(황)2KG]	","744.000","0","야간	",""
"10/01/18-1	","PE	","PE	","PE28mm, 6KG [PE28M／M(청)6KG]	","720.000","0","야간	",""
"10/01/18-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","100.000","0","주간	",""
"10/01/18-2	","PE	","PE	","PE28mm, 6KG [PE28M／M(청)6KG]	","192.000","0","주간	",""
"10/01/18-3	","PP	","PP	","18MMx 15kg 삼성 [1650M두께0.9mm단중8.56g]	","900.000","0","	",""
"10/01/18-3	","PP	","PP	","18MMx 15kg 삼성 [1650M두께0.9mm단중8.56g]	","1,260.000","0","	",""
"10/01/18-4	","PP	","PP	","PP12M [PP12M／M12KG(황)]	","1,680.000","0","	",""
"10/01/18-5	","PP	","PP	","PP9MM [PP9M／M10KG(황)]	","1,200.000","0","	",""
"10/01/18-5	","PP	","PP	","PP15M [PP15M／M13KG(황)]	","390.000","0","	",""
