00~26 구매조회,,,,,,,,
일자-No.,거래처명,품목명,금액합계,거래유형,창고명,회계반영여부,인쇄,불러온 전표
20251110-3,대한유화 주식회사,5014 [pp원료],34320000,세금계산서,PP,Y,인쇄,조회
20251110-2,주식회사 썬에이스,MF5000(PE원료) [MF5000P_500KG],19140000,세금계산서,PE,Y,인쇄,조회
20251110-1,백암지관공업사,지관 200 [지관 200＊8＊186] 외 1건,2034032,세금계산서,PP,Y,인쇄,조회
20251107-1,재생산업,PP 재생원료,32432400,세금계산서,PP,Y,인쇄,조회
20251106-2,(주)경남캐미칼,MB 510-2 [M／B 510-2 (BLUE)],1540000,세금계산서,PP,Y,인쇄,조회
20251106-1,일신케미칼,PP임가공 [PP임가공],2258080,세금계산서,PP,Y,인쇄,조회
20251105-4,주)대성씨앤씨,테르마 크라프트 C/T [260*132*260],948640,세금계산서,PP,Y,인쇄,조회
20251105-3,주식회사 대한종합포장,고메리 12입(IN) [410*275*175],1237500,세금계산서,PP,Y,인쇄,조회
20251105-2,(주)경남캐미칼,MB 510-2 [M／B 510-2 (BLUE)],385000,세금계산서,PP,Y,인쇄,조회
20251105-1,재윤상사,팔레트 [1100*1300],858000,세금계산서,PP,Y,인쇄,조회
20251104-1,"주식회사 오비아이(OBI co.,Ltd.)",비니루(하우스) [0.1*400*15],90200,세금계산서,PP,Y,인쇄,조회
20251103-1,백암지관공업사,지관 406 [지관 406＊6＊155] 외 2건,1458248,세금계산서,PP,Y,인쇄,조회
20251101-1,(주)경남캐미칼,MB 307 [M／B 307 Yellow],2035000,세금계산서,PP,Y,인쇄,조회
20251031-1,제이케이머티리얼즈(주)/순성공장,PP원료,27784020,세금계산서,PP,Y,인쇄,조회
20251030-3,성신목재,팔레트 1300*1200 [1300*1200],22000,세금계산서,PP,Y,인쇄,조회
20251030-2,삼광잉크제조(주),PP 흑색 외 2건,691350,세금계산서,PP,Y,인쇄,조회
20251030-1,삼보팩,박스 외부 PE (폴리밴드) [320 190 780],1119641,세금계산서,PE,Y,인쇄,조회
20251028-2,(주)경남캐미칼,MB 820FL [M／B 820FL（BLACK）],1375000,세금계산서,PP,Y,인쇄,조회
20251028-1,백암지관공업사,지관 50 [지관 50＊5＊182] 외 2건,3006608,세금계산서,PP,Y,인쇄,조회
20251027-2,성신목재,팔레트 1140*1140 [1140*1140] 외 7건,990000,세금계산서,PP,Y,인쇄,조회
20251027-1,(주)스피드랩코리아,스트레치필름(일반 핸드랩 20) [20*500mm*350m],670120,세금계산서,상품,Y,인쇄,조회
20251024-3,주식회사 썬에이스,MF5000(PE원료) [MF5000P_750KG],19536000,세금계산서,PE,N,인쇄,조회
20251024-2,백암지관공업사,지관 200 [지관 200＊8＊190],1873872,세금계산서,PP,Y,인쇄,조회
20251024-1,주식회사 대한종합포장,원형PAD [400*200],929390,세금계산서,PP,Y,인쇄,조회
20251023-2,제이케이머티리얼즈(주)/순성공장,PP원료,29296520,세금계산서,PP,Y,인쇄,조회
20251023-1,효창산업,CALPET [CALPET],5148000,세금계산서,PP,Y,인쇄,조회
20251022-3,대한유화 주식회사,5014 [pp원료],34716000,세금계산서,PP,Y,인쇄,조회
20251022-2,주)대성씨앤씨,무인쇄 스넬 [260*132-260],968000,세금계산서,PP,Y,인쇄,조회
20251022-1,주식회사 대한종합포장,폴리 머신 스트랩 박스 무인쇄-5(알바니아) [420*200*420],1944250,세금계산서,PP,Y,인쇄,조회
20251021-3,백암지관공업사,지관 200 [지관 200＊8＊190],1249248,세금계산서,PP,Y,인쇄,조회
20251021-2,성신목재,팔레트 1260*1260 [1260*1260] 외 6건,946000,세금계산서,PP,Y,인쇄,조회
20251021-1,덕흥수지,PP원료(A),22176000,세금계산서,PP,Y,인쇄,조회
20251020-4,S-OIL(주)온산공장,HD500/PP50DW [500KG],35750000,세금계산서,PP,Y,인쇄,조회
20251020-3,(주)영화수출포장,경인팩 2KG [320*190*780],1442100,세금계산서,PE,Y,인쇄,조회
20251020-2,(주)경남캐미칼,MB 100B（ [M／B 100B（WHITE）] 외 1건,2805000,세금계산서,PP,Y,인쇄,조회
20251020-1,금성포장,KIC 450 [450*200],1815000,세금계산서,PP,Y,인쇄,조회
20251017-7,주식회사 썬에이스,MF5000(PE원료) [MF5000P_500KG],13024000,세금계산서,PE,N,인쇄,조회
20251017-6,주식회사 대한종합포장,삼성전자 6입 BOX 무인쇄 [555*370*170] 외 2건,926750,세금계산서,PE,Y,인쇄,조회
20251017-5,주식회사 썬에이스,MF5000(PE원료) [MF5000P_500KG],6512000,세금계산서,PE,N,인쇄,조회
20251017-4,(주)스피드랩코리아,스트레치필름(일반 핸드랩 20) [20*500mm*350m] 외 1건,2224684,세금계산서,상품,Y,인쇄,조회
20251017-2,백암지관공업사,지관 406 [지관 406＊6＊155] 외 3건,1941676,세금계산서,PP,Y,인쇄,조회
20251017-1,삼보팩,평면골판지 [구래단 (1100mm x 40000mm)],1197900,세금계산서,PP,Y,인쇄,조회
20251016-2,한국파렛트풀(주),팔레트 1100*1100*120 [1100*1100*120 7.5kg],1936000,세금계산서,PP,Y,인쇄,조회
20251016-1,(주)영화수출포장,박스 (#28*6kg박스) [465 455 245] 외 1건,1703350,세금계산서,PE,Y,인쇄,조회
20251014-1,재생산업,PP 재생원료 외 1건,32401600,세금계산서,PP,Y,인쇄,조회
20251013-1,백암지관공업사,지관 102 [지관 102＊4＊143] 외 2건,1420936,세금계산서,PP,Y,인쇄,조회
20251010-1,(주)경남캐미칼,실리콘 251H,574860,세금계산서,PP,Y,인쇄,조회
20251002-3,(주)태진케미칼,PP원료 [PPA],12672000,세금계산서,PP,Y,인쇄,조회
20251002-2,백암지관공업사,지관 50 [지관 50＊5＊182],1597200,세금계산서,PE,Y,인쇄,조회
20251002-1,백암지관공업사,지관 200 [지관 200＊8＊186] 외 2건,1953952,세금계산서,PP,Y,인쇄,조회
20251001-2,삼진폴리텍,CALPET [핵제 #480] 외 1건,227700,세금계산서,PP,Y,인쇄,조회
20251001-1,(주)경남캐미칼,SLIP [SL0101] 외 2건,4422000,세금계산서,PP,Y,인쇄,조회
20250930-6,제이케이머티리얼즈(주)/순성공장,PP원료,29223920,세금계산서,PP,Y,인쇄,조회
20250930-5,제이케이머티리얼즈(주)/순성공장,PP원료,28764120,세금계산서,PP,Y,인쇄,조회
20250930-3,백암지관공업사,지관 406 [지관 406＊6＊155] 외 1건,1994256,세금계산서,PP,Y,인쇄,조회
20250930-2,금정기획,모조지 STICKER [모조지 STICKER],165000,세금계산서,PP,Y,인쇄,조회
20250930-1,금성포장,패드 430 [패드 430＊200 무지],1694000,세금계산서,PP,Y,인쇄,조회
20250929-6,제이케이머티리얼즈(주)/순성공장,LLD PE 원료,29493156,세금계산서,PE,Y,인쇄,조회
20250929-5,(주)한국바코드시스템,라벨(아트지도안백색) [[86*46 ]] 외 1건,264000,세금계산서,PP,Y,인쇄,조회
20250929-4,성신목재,팔레트 1380＊920 [1380＊920] 외 7건,418000,세금계산서,PP,Y,인쇄,조회
20250929-3,대한유화 주식회사,5014 [pp원료],35112000,세금계산서,PP,Y,인쇄,조회
